"TYPE"	"WORD"	"VALUE"
"wutschaeumend"	"wutschaeumendstem"	-0.0048
"wutschaeumend"	"wutschaeumendsten"	-0.0048
"wutschaeumend"	"wutschaeumendster"	-0.0048
"wutschaeumend"	"wutschaeumendere"	-0.0048
"wutschaeumend"	"wutschaeumende"	-0.0048
"zahlungsunfaehig"	"zahlungsunfaehig"	-0.0048
"zahlungsunfaehig"	"zahlungsunfaehige"	-0.0048
"zahlungsunfaehig"	"zahlungsunfaehigem"	-0.0048
"zahlungsunfaehig"	"zahlungsunfaehigen"	-0.0048
"zahlungsunfaehig"	"zahlungsunfaehiger"	-0.0048
"zahlungsunfaehig"	"zahlungsunfaehiges"	-0.0048
"Zahlungsunfaehigkeit"	"Zahlungsunfaehigkeit"	-0.0048
"Zahlungsunfaehigkeit"	"Zahlungsunfaehigkeiten"	-0.0048
"zappeln"	"zappeln"	-0.0048
