"TYPE"	"WORD"	"VALUE"
"wunderbar"	"wunderbares"	0.7234
"wunderbar"	"wunderbarer"	0.7234
"wunderbar"	"wunderbare"	0.7234
"wunderbar"	"wunderbaren"	0.7234
"wunderbar"	"wunderbarem"	0.7234
"wunderbar"	"wunderbarsten"	0.7234
"wunderbar"	"wunderbarere"	0.7234
"wunderbar"	"wunderbarstem"	0.7234
"wundersam"	"wundersam"	0.004
"wundersam"	"wundersamste"	0.004
"wundersam"	"wundersame"	0.004
"wundersam"	"wundersameren"	0.004
"wundersam"	"wundersamem"	0.004
"wundersam"	"wundersamen"	0.004
"wundersam"	"wundersamerem"	0.004
"wundersam"	"wundersamstem"	0.004
"wundersam"	"wundersamer"	0.004
"wundersam"	"wundersamsten"	0.004
"wundersam"	"wundersamere"	0.004
"wundersam"	"wundersamster"	0.004
"wundersam"	"wundersamerer"	0.004
"wundersam"	"wundersames"	0.004
"wundersam"	"wundersamstes"	0.004
"wundersam"	"wundersameres"	0.004
"wunderschoen"	"wunderschoen"	0.7048
"wunderschoen"	"wunderschoenen"	0.7048
"wunderschoen"	"wunderschoensten"	0.7048
"wunderschoen"	"wunderschoenstem"	0.7048
"wunderschoen"	"wunderschoenes"	0.7048
"wunderschoen"	"wunderschoenstes"	0.7048
"wunderschoen"	"wunderschoener"	0.7048
"wunderschoen"	"wunderschoenster"	0.7048
"wunderschoen"	"wunderschoenste"	0.7048
"wunderschoen"	"wunderschoenere"	0.7048
"wunderschoen"	"wunderschoenem"	0.7048
"wunderschoen"	"wunderschoeneren"	0.7048
"wunderschoen"	"wunderschoenerem"	0.7048
"wunderschoen"	"wunderschoene"	0.7048
"wunderschoen"	"wunderschoeneres"	0.7048
"wunderschoen"	"wunderschoenerer"	0.7048
"wundervoll"	"wundervoll"	0.308
"wundervoll"	"wundervollster"	0.308
"wundervoll"	"wundervollstes"	0.308
"wundervoll"	"wundervollere"	0.308
"wundervoll"	"wundervollste"	0.308
"wundervoll"	"wundervollstem"	0.308
"wundervoll"	"wundervolleren"	0.308
"wundervoll"	"wundervollsten"	0.308
"wundervoll"	"wundervolleres"	0.308
"wundervoll"	"wundervollerer"	0.308
"wundervoll"	"wundervollerem"	0.308
"wundervoll"	"wundervolle"	0.308
"wundervoll"	"wundervolles"	0.308
"wundervoll"	"wundervoller"	0.308
"wundervoll"	"wundervollen"	0.308
"wundervoll"	"wundervollem"	0.308
"wuenschenswert"	"wuenschenswert"	0.004
"wuenschenswert"	"wuenschenswerten"	0.004
"wuenschenswert"	"wuenschenswertesten"	0.004
"wuenschenswert"	"wuenschenswertestem"	0.004
"wuenschenswert"	"wuenschenswertem"	0.004
"wuenschenswert"	"wuenschenswerter"	0.004
"wuenschenswert"	"wuenschenswertere"	0.004
"wuenschenswert"	"wuenschenswertes"	0.004
"wuenschenswert"	"wuenschenswertester"	0.004
"wuenschenswert"	"wuenschenswerteste"	0.004
"wuenschenswert"	"wuenschenswertestes"	0.004
"wuenschenswert"	"wuenschenswerteren"	0.004
"wuenschenswert"	"wuenschenswerterem"	0.004
"wuenschenswert"	"wuenschenswerteres"	0.004
"wuenschenswert"	"wuenschenswerterer"	0.004
"wuenschenswert"	"wuenschenswerte"	0.004
"wuenschenswert"	"wuenschenswertest"	0.004
"wunschgemaess"	"wunschgemaess"	0.004
"wunschgemaess"	"wunschgemaesser"	0.004
"wunschgemaess"	"wunschgemaessen"	0.004
"wunschgemaess"	"wunschgemaessem"	0.004
"wunschgemaess"	"wunschgemaesse"	0.004
"wunschgemaess"	"wunschgemaesses"	0.004
"wuerdevoll"	"wuerdevoll"	0.004
"wuerdevoll"	"wuerdevollerer"	0.004
"wuerdevoll"	"wuerdevolle"	0.004
"wuerdevoll"	"wuerdevolleres"	0.004
"wuerdevoll"	"wuerdevollem"	0.004
"wuerdevoll"	"wuerdevollere"	0.004
"wuerdevoll"	"wuerdevollstes"	0.004
"wuerdevoll"	"wuerdevolles"	0.004
"wuerdevoll"	"wuerdevollste"	0.004
"wuerdevoll"	"wuerdevoller"	0.004
"wuerdevoll"	"wuerdevolleren"	0.004
"wuerdevoll"	"wuerdevollster"	0.004
"wuerdevoll"	"wuerdevollerem"	0.004
"wuerdevoll"	"wuerdevollen"	0.004
"wuerdevoll"	"wuerdevollstem"	0.004
"wuerdevoll"	"wuerdevollsten"	0.004
"wuerdig"	"wuerdig"	0.0801
"wuerdig"	"wuerdigstem"	0.0801
"wuerdig"	"wuerdigsten"	0.0801
"wuerdig"	"wuerdigeres"	0.0801
"wuerdig"	"wuerdiges"	0.0801
"wuerdig"	"wuerdiger"	0.0801
"wuerdig"	"wuerdigen"	0.0801
